id,category_id
486,5
591,6
635,9
826,48
863,89
1099,271
1103,271
1134,418
1394,88
1484,432
1649,66
1667,36
1821,48
1825,6
1866,66
2063,15
2075,7
2096,182
2099,12
2102,9
2537,9
2561,412
2578,182
2592,284
2599,91
2614,421
2731,55
2740,66
2749,419
2758,77
2761,290
2791,302
2797,47
2812,343
2954,343
3200,183
3203,20
3223,367
3235,285
4213,285
4785,355
4904,90
5047,432
5138,286
5142,339
5212,93
5930,39
6009,362
6156,66
6440,97
6503,66
6637,134
6948,70
7203,68
7351,93
7490,93
7582,64
7826,93
7848,83
7886,87
8596,15
8896,9
9180,68
9273,91
9286,91
9537,399
9656,9
9707,83
9921,372
10423,89
25863,134
25874,9
25905,325
25926,83
25940,55
25970,91
25994,6
26001,68
26014,6
26067,6
26070,147
26072,359
26080,46
26090,45
26100,145
26113,10
26116,415
26127,134
26129,18
26136,89
26138,1
26160,134
26163,91
26184,385
26186,50
26192,325
26198,134
26205,271
26207,89
26209,6
26212,328
26214,9
26216,48
26221,47
26229,134
26264,70
26270,48
26271,343
26289,5
26290,16
26443,134
26464,134
26523,134
26524,48
26527,293
26594,6
26619,147
26631,385
26648,25
26658,32
26699,287
26761,288
26766,37
26771,297
26776,9
26811,325
26817,6
26856,6
26868,420
26898,91
27181,87
27219,87
27288,292
27305,288
27312,288
27330,9
27333,287
27345,300
27376,6
27817,9
27869,7
34081,70
34334,9
34335,9
34337,9
34368,21
34370,297
34385,9
34401,433
34411,65
34415,288
34431,330
34448,44
34458,27
34470,420
34474,299
34488,147
34495,74
34508,27
34527,9
34530,27
34538,9
34547,12
34568,20
34573,22
34652,134
34719,337
34808,147
35055,39
35204,309
35205,18
35244,150
35265,290
35273,147
35274,68
35282,314
35293,9
35299,9
35308,70
35329,68
35332,419
35358,288
35361,9
35376,93
35393,9
35406,151
35414,68
35425,62
35430,44
35441,420
35454,377
35457,420
35461,9
35467,134
35474,146
35477,9
35495,66
35497,375
35500,290
35520,435
35543,9
35544,12
35548,9
35550,290
35551,302
35553,291
35558,341
35566,68
35567,9
35572,153
35576,290
35588,65
35594,65
35597,12
35607,22
35611,152
35616,50
35617,14
35642,151
35656,54
35691,12
35709,12
35734,421
35741,74
35748,70
35749,187
35759,22
35762,290
35763,9
35764,13
35774,346
35788,59
35790,343
35805,328
35806,37
35812,91
35814,373
35821,187
35826,297
35832,27
35835,297
35839,297
35843,9
35846,14
35856,297
35865,24
35867,300
35869,290
35870,299
35879,64
35894,66
35895,14
35908,9
35909,48
35911,70
35912,66
35914,9
35916,346
35927,342
35929,47
35930,9
35932,15
35940,298
35943,24
35944,79
35945,44
35946,297
35949,47
35954,9
35960,9
35961,88
35966,421
35967,49
35985,49
35987,420
35988,24
35989,20
35992,68
35997,68
36001,47
36008,48
36010,45
36022,343
36029,376
36044,339
36058,9
36059,21
36070,342
36073,105
36080,343
36088,44
36105,369
36130,369
36139,47
36144,39
36149,42
36174,340
36181,343
36182,134
36203,24
36211,47
36215,103
36216,12
36217,382
36220,343
36229,45
36245,155
36282,4
36283,357
36287,21
36292,299
36296,415
36303,148
36306,324
36310,367
36343,21
36353,42
36354,287
36381,148
36395,182
36396,182
36408,9
36443,21
36445,55
36572,287
36605,21
36608,287
36611,366
36616,290
36626,55
36627,59
36630,23
36634,55
36640,275
36646,330
36653,55
36656,54
36657,145
36658,306
36663,287
36679,12
36685,367
36698,65
36703,46
36727,9
36730,367
36747,58
36759,59
36769,55
36788,55
36839,9
36847,54
36856,89
36861,70
36876,6
36890,287
36905,54
36918,54
36986,436
37010,64
37013,287
37016,57
37026,290
37031,39
37032,48
37033,366
37034,48
37035,44
37036,297
37046,288
37054,21
37055,70
37056,271
37069,9
37078,9
37087,384
37090,406
37091,11
37097,11
37101,9
37127,58
37139,55
37140,55
37143,55
37144,54
37146,55
37147,54
37149,55
37152,55
37158,55
37160,55
37163,55
37168,55
37179,55
37180,54
37183,55
37190,79
37194,290
37195,290
37199,290
37210,287
37211,378
37216,316
37242,287
37275,9
37286,55
37292,55
37297,55
37298,298
37301,55
37302,58
37304,55
37305,55
37309,299
37314,54
37324,9
37327,133
37336,55
37345,147
37366,287
37371,54
37380,55
37381,54
37382,54
37383,11
37385,9
37399,9
37408,54
37431,9
37432,9
37433,9
37434,55
37435,54
37436,12
37437,225
37447,382
37448,300
37452,147
37454,287
37455,11
37458,134
37460,43
37467,67
37468,65
37482,290
37483,9
37495,9
37498,7
37499,62
37515,11
37518,47
37519,9
37521,290
37527,11
37535,65
37536,51
37539,159
37547,147
37549,55
37551,243
37553,58
37555,54
37557,147
37559,58
37561,55
37564,290
37577,343
37578,39
37589,37
37590,72
37605,344
37611,294
37617,39
37633,62
37640,55
37652,51
37655,54
37660,55
37661,377
37662,44
37668,70
37669,289
37680,290
37682,290
37738,287
37747,155
37762,54
37772,287
37773,299
37790,104
37809,337
37834,288
37838,9
37852,107
37854,290
37855,288
37856,290
37863,127
37869,54
37872,9
37873,341
37874,28
37901,32
37902,104
37908,9
37913,103
37914,9
37915,7
37916,40
37920,9
37923,70
37928,64
37929,287
37931,290
37932,128
37933,48
37936,134
37937,70
37939,65
37941,58
37942,362
37944,9
37947,43
37949,70
37950,55
37952,290
37953,148
37954,9
37955,9
37956,9
37958,17
37959,254
37961,297
37962,9
37963,9
37964,333
37965,48
37967,9
37968,70
37969,287
37973,47
37976,9
37980,55
37981,9
37985,9
37986,68
37991,70
38002,91
38019,104
38027,21
38037,55
38038,54
38042,55
38043,308
38047,182
38049,91
38056,148
38063,65
38066,148
38072,48
38073,337
38075,42
38078,9
38091,47
38092,38
38095,371
38097,148
38098,367
38113,70
38114,70
38130,70
38131,48
38132,9
38137,128
38138,159
38139,9
38142,370
38143,9
38144,290
38145,12
38146,70
38153,342
38154,54
38157,54
38159,9
38160,55
38164,42
38165,103
38167,309
38168,54
38169,290
38170,17
38172,47
38173,55
38175,159
38176,290
38177,44
38188,288
38211,9
38214,42
38222,290
38231,9
38232,12
38234,55
38235,9
38237,58
38242,9
38243,54
38244,55
38248,149
38251,40
38253,362
38254,44
38257,9
38258,9
38259,107
38261,290
38267,9
38269,9
38270,9
38276,55
38277,9
38281,58
38282,12
38285,55
38287,421
38289,21
38290,55
38296,9
38300,287
38302,194
38305,438
38306,425
38309,9
38310,58
38319,9
38321,159
38323,54
38324,65
38327,290
38328,290
38329,378
38332,288
38335,9
38336,9
38339,12
38343,55
38348,134
38350,58
38352,58
38354,9
38356,9
38361,9
38362,64
38365,9
38372,20
38373,55
38375,292
38376,9
38377,27
38379,9
38383,287
38385,422
38395,24
38396,9
38406,422
38408,290
38409,9
38420,287
38421,289
38425,9
38428,9
38429,70
38430,9
38445,9
38446,9
38449,9
38452,9
38454,9
38455,6
38460,9
38464,6
38466,58
38472,6
38473,6
38480,9
38481,105
38486,75
38488,9
38491,9
38492,6
38494,6
38495,9
38500,6
38501,419
38502,9
38506,120
38507,375
38509,9
38511,294
38513,6
38521,6
38523,375
38525,9
38527,431
38531,1
38533,9
38534,9
38535,310
38536,6
38537,134
38539,9
38540,9
38542,9
38543,436
38545,6
38546,1
38548,9
38550,9
38554,70
38556,1
38559,148
38561,6
38562,1
38563,9
38565,9
38566,9
38567,9
38568,70
38569,9
38570,9
38571,9
38572,9
38573,9
38576,290
38577,6
38578,9
38581,6
38583,134
38585,15
38589,1
38590,55
38591,55
38592,104
38593,9
38595,148
38596,148
38598,6
38600,420
38603,148
38604,148
38609,6
38612,3
38616,134
38617,148
38621,9
38622,6
38623,9
38624,9
38625,148
38626,9
38627,2
38628,6
38629,145
38652,1
38653,40
38654,9
38655,6
38657,6
38658,6
38674,49
38676,9
38678,9
38679,9
38680,47
38681,55
38682,9
38684,40
38689,148
38691,9
38692,148
38693,1
38698,148
38699,70
38701,44
38702,308
38707,40
38708,6
38709,9
38711,148
38712,10
38713,93
38714,9
38715,3
38716,3
38717,3
38718,1
38719,9
38720,9
38721,6
38726,54
38729,15
38731,16
38735,9
38745,40
38748,9
38749,55
38750,6
38751,55
38757,40
38760,54
38762,6
38763,193
38765,55
38767,54
38779,40
38781,6
38782,290
38783,88
38784,40
38787,6
38790,13
38792,3
38793,3
38794,40
38795,297
38796,3
38797,9
38801,40
38803,47
38804,9
38808,3
38810,54
38811,1
38813,70
38815,54
38816,55
38817,9
38818,147
38819,47
38824,9
38825,9
38826,16
38831,290
38834,9
38835,9
38836,54
38837,88
38840,7
38842,54
38843,9
38846,9
38849,1
38853,9
38856,352
38859,1
38875,1
38876,47
38878,9
38880,48
38882,3
38886,9
38890,20
38891,4
38894,147
38900,47
38901,147
38902,7
38903,372
38904,47
38905,70
38908,55
38912,9
38921,64
38928,3
38930,10
38932,9
38933,9
38935,44
38936,9
38938,9
38941,70
38945,5
38946,54
38947,1
38949,372
38954,9
38955,1
38956,9
38957,9
38960,147
38961,316
38964,77
38991,9
38992,1
38994,9
38996,9
38997,9
38998,9
38999,350
39000,9
39001,9
39005,9
39006,47
39008,9
39010,10
39013,9
39017,4
39019,6
39022,9
39023,9
39024,9
39026,9
39043,113
39046,6
39052,9
39053,9
39055,9
39057,3
39067,146
39068,63
39069,3
39082,9
39087,9
39089,9
39091,9
39092,9
39110,9
39111,10
39112,42
39114,9
39116,9
39117,9
39121,48
39134,134
39135,10
39138,27
39142,48
39143,1
39147,9
39148,9
39150,9
39151,20
39157,10
39160,9
39164,91
39176,146
39177,341
39180,20
39182,9
39183,9
39191,1
39206,319
39219,9
39223,91
39231,9
39232,1
39235,10
39236,134
39238,51
39240,342
39244,146
39246,134
39247,9
39249,9
39259,9
39260,9
39268,22
39269,10
39270,38
39272,10
39277,1
39280,262
39292,47
39293,105
39300,9
39303,9
39309,10
39310,341
39313,313
39315,45
39317,339
39318,2
39329,62
39331,1
39332,1
39346,4
39347,276
39348,10
39349,70
39353,2
39354,27
39356,361
39363,9
39371,9
39373,10
39376,21
39394,9
39401,25
39402,1
39405,9
39407,9
39412,20
39415,1
39422,412
39424,9
39425,9
39427,21
39428,9
39435,43
39436,303
39441,87
39443,17
39448,14
39452,9
39456,1
39457,343
39458,63
39461,9
39462,9
39475,145
39480,324
39481,9
39488,9
39489,22
39490,316
39491,23
39493,9
39497,70
39504,9
39509,11
39510,317
39518,355
39523,9
39527,182
39532,325
39533,302
39535,9
39545,11
39560,1
39562,9
39569,166
39575,361
39588,25
39590,436
39593,21
39600,9
39603,420
39619,67
39620,309
39626,27
39631,9
39632,13
39634,9
39638,38
39639,43
39650,9
39651,290
39655,9
39658,6
39659,9
39660,54
39665,10
39667,103
39680,421
39683,2
39684,9
39686,39
39694,9
39697,9
39720,70
39722,9
39724,103
39732,9
39768,91
39831,1
39835,302
39837,44
39838,9
39839,9
39876,95
39879,55
39882,9
39887,297
39888,1
39894,9
39896,9
39900,51
39902,43
39907,62
39908,314
39917,45
39920,259
39924,438
39929,330
39932,45
39934,22
39937,93
39940,283
39942,93
39946,27
39948,54
39950,289
39952,325
39953,271
39954,1
39958,55
39959,44
39960,9
39961,140
39962,273
39965,361
39966,283
39968,91
39972,62
39983,277
39984,289
39986,1
39995,1
39998,93
40000,20
40001,298
40004,392
40008,190
40011,314
40034,1
40035,182
40053,27
40054,40
40056,382
40057,1
40061,9
40062,5
40064,90
40067,51
40070,179
40074,1
40075,70
