translation_id,"element_type",element_id,trid,"language_code","source_language_code"
1,"post_forum",417,417,"en",NULL
2,"post_forum",419,419,"en",NULL
3,"post_forum",3655,3655,"en",NULL
4,"post_forum",3657,3657,"en",NULL
5,"post_forum",3659,3659,"en",NULL
6,"post_forum",3661,3661,"en",NULL
7,"post_forum",3663,3663,"en",NULL
8,"post_nav_menu_item",5,5,"en",NULL
34,"post_nav_menu_item",4502,4502,"en",NULL
36,"post_page",304,304,"en",NULL
37,"post_page",4668,4668,"en",NULL
38,"post_page",9573,9573,"en",NULL
39,"post_page",10213,10213,"en",NULL
40,"post_page",382,382,"en",NULL
41,"post_page",383,383,"en",NULL
42,"post_page",384,384,"en",NULL
43,"post_page",385,385,"en",NULL
44,"post_page",45,45,"en",NULL
45,"post_page",48,48,"en",NULL
46,"post_page",54,54,"en",NULL
47,"post_page",90,90,"en",NULL
48,"post_page",92,92,"en",NULL
49,"post_page",305,305,"en",NULL
50,"post_page",306,306,"en",NULL
51,"post_page",307,307,"en",NULL
52,"post_page",309,309,"en",NULL
53,"post_page",310,310,"en",NULL
54,"post_page",311,311,"en",NULL
55,"post_page",312,312,"en",NULL
56,"post_page",313,313,"en",NULL
57,"post_page",314,314,"en",NULL
58,"post_page",315,315,"en",NULL
59,"post_page",337,337,"en",NULL
60,"post_page",353,353,"en",NULL
61,"post_page",366,366,"en",NULL
62,"post_page",2,2,"en",NULL
63,"post_page",414,414,"en",NULL
64,"post_page",88,88,"en",NULL
65,"post_page",308,308,"en",NULL
66,"post_page",430,430,"en",NULL
67,"post_page",3973,3973,"en",NULL
68,"post_page",4076,4076,"en",NULL
69,"post_page",4078,4078,"en",NULL
70,"post_page",4167,4167,"en",NULL
71,"post_post",716,716,"en",NULL
72,"post_post",726,726,"en",NULL
73,"post_post",794,794,"en",NULL
74,"post_post",911,911,"en",NULL
75,"post_post",1008,1008,"en",NULL
76,"post_post",1019,1019,"en",NULL
77,"post_post",1067,1067,"en",NULL
78,"post_post",1077,1077,"en",NULL
79,"post_post",1080,1080,"en",NULL
80,"post_post",1110,1110,"en",NULL
81,"post_post",1370,1370,"en",NULL
82,"post_post",1431,1431,"en",NULL
83,"post_post",1464,1464,"en",NULL
84,"post_post",1498,1498,"en",NULL
85,"post_post",1502,1502,"en",NULL
86,"post_post",1506,1506,"en",NULL
87,"post_post",1516,1516,"en",NULL
88,"post_post",1518,1518,"en",NULL
89,"post_post",1521,1521,"en",NULL
90,"post_post",1527,1527,"en",NULL
91,"post_post",1534,1534,"en",NULL
92,"post_post",1537,1537,"en",NULL
93,"post_post",1553,1553,"en",NULL
94,"post_post",1570,1570,"en",NULL
95,"post_post",1573,1573,"en",NULL
96,"post_post",1584,1584,"en",NULL
97,"post_post",1587,1587,"en",NULL
98,"post_post",1591,1591,"en",NULL
99,"post_post",1593,1593,"en",NULL
100,"post_post",1603,1603,"en",NULL
101,"post_post",1622,1622,"en",NULL
102,"post_post",1669,1669,"en",NULL
103,"post_post",1703,1703,"en",NULL
104,"post_post",1706,1706,"en",NULL
105,"post_post",1712,1712,"en",NULL
106,"post_post",1716,1716,"en",NULL
107,"post_post",1726,1726,"en",NULL
108,"post_post",1729,1729,"en",NULL
109,"post_post",1735,1735,"en",NULL
110,"post_post",1738,1738,"en",NULL
