article_id,tag_group_id
38606,29
39014,42
39014,41
38752,29
38752,22
26870,7
39067,5
38939,3
38939,4
38939,6
39030,43
39030,45
36223,3
37154,29
39076,34
38881,7
38881,8
38881,2
37761,29
37321,7
37321,8
37321,2
39066,5
38962,3
38962,7
38962,6
38962,5
38883,7
38883,4
38883,2
39083,5
34568,2
34568,8
26074,5
35505,36
35505,34
35505,32
5493,14
4213,5
4213,3
4213,10
38772,10
38772,2
38772,4
38931,20
38931,21
38931,13
38959,10
38959,2
38991,10
38994,10
38994,4
38994,1
39000,10
39000,6
39001,10
39001,1
39005,10
39005,1
39005,2
39006,15
39006,18
39007,10
39008,10
39013,10
38931,6
38931,2
38931,4
39018,10
39018,2
39022,7
39023,10
38991,6
39024,10
39024,2
39024,6
39024,8
39046,43
39057,29
39068,42
39077,15
38942,15
