id,name_ja,name_en,name_zh_hant,name_zh_hans,name_th,name_ko,name_vi
1,全国,nationwide,全國,全国,ทั่วประเทศ,전국,toàn quốc
2,北海道,hokkaido,北海道,北海道,ฮอกไกโด,홋카이도,hokkaido
3,関東,kanto,關東,关东,คันโต,간토,kanto
4,中部,chubu,中部,中部,ชูบุ,주부,chubu
5,関西,kansai,關西,关西,คันไซ,간사이,kansai
6,中国,chugoku,中國,中国,ชูโกคุ,주고쿠,chugoku
7,四国,shikoku,四國,四国,ชิโคคุ,시코쿠,shikoku
8,九州,kyushu,九州,九州,คิวชู,규슈,kyushu
9,東日本,eastern japan,東日本,东日本,ญี่ปุ่นฝั่งตะวันออก,동일본,đông Nhật Bản
10,西日本,western japan,西日本,西日本,ญี่ปุ่นฝั่งตะวันตก,서일본,tây Nhật Bản
11,北陸,hokuriku,北陸,北陆,โฮคุริคุ,호쿠리쿠,hokuriku
12,東北,tohoku,東北,东北,โทโฮคุ,도호쿠,tohoku
13,神居古潭(カムイコタン),kamui kotan,神居古潭,神居古潭,คะมุยโคะทัง,카무이코탄,kamui kotan
14,十勝,tokachi,十勝,十胜,โทคะจิ,토카치,tokachi
15,ニセコ,niseko,新雪谷,新雪谷,นิเซโกะ,니세코,niseko
16,旭川,asahikawa,旭川,旭川,อาซาฮิคาวะ,아사히카와,asahikawa
17,すすきの,susukino,薄野,薄野,ซุซุกิโนะ,스스키노,susukino
18,稚内,wakkanai,稚内,稚内,วัคคะไน,왓카나이,wakkanai
19,室蘭,muroran,室蘭,室兰,มุโรรัน,무로란,muroran
20,札幌,sapporo,札幌,札幌,ซัปโปโร,삿포로,sapporo
21,登別,noboribetsu,登別,登别,โนโบริเบทสึ,노보리베츠,noboribetsu
22,小樽,otaru,小樽,小樽,โอตารุ,오타루,otaru
23,富良野,furano,富良野,富良野,ฟุราโนะ,후라노,furano
24,美瑛,biei,美瑛,美瑛,บิเอ,비에이,biei
25,網走,abashiri,網走,网走,อาบาชิริ,아바시리,abashiri
26,千歳,chitose,千歲,千岁,ชิโตเซะ,치토세,chitose
27,帯広,obihiro,帶廣,带广,โอบิฮิโระ,오비히로,obihiro
28,山形,yamagata,山形,山形,ยามากาตะ,야마가타,yamagata
29,盛岡,morioka,盛岡,盛冈,โมริโอกะ,모리오카,morioka
30,蔵王,zao,藏王,藏王,ซาโอะ,자오,zao
31,弘前,hirosaki,弘前,弘前,ฮิโรซากิ,히로사키,hirosaki
32,横手,yokote,橫手,横手,โยโกเตะ,요코테,yokote
33,いわき,iwaki,岩木,岩木,อิวาคิ,이와키,iwaki
34,松島,matsushima,松島,松岛,มัตสึชิม่า,마츠시마,matsushima
35,角館,kakunodate,角館,角馆,คะคุโนะดาเตะ,카쿠노다테,kakunodate
36,会津,aizu,會津,会津,ไอสุ,아이즈,aizu
37,青森,aomori,青森,青森,อาโมโมริ,아오모리,aomori
38,岩手,iwate,岩手,岩手,อิวาเตะ,이와테,iwate
39,福島,fukushima,福島,福岛,ฟุคุชิมะ,후쿠시마,fukushima
40,秋田,akita,秋田,秋田,อาคิตะ,아키타,akita
41,仙台,sendai,仙台,仙台,เซนได,센다이,sendai
42,八戸,hachinohe,八戶,八户,ฮาชิโนเฮะ,하치노헤,hachinohe
43,宮城,miyagi,宮城,宫城,มิยางิ,미야기,miyagi
44,湘南,shonan,湘南,湘南,โชนัน,쇼난,shonan
45,箱根,hakone,箱根,箱根,ฮาโกเน่,하코네,hakone
46,千代田,chiyoda,千代田,千代田,ชิโยดะ,치요다,chiyoda
47,関内,kannai,關內,关内,คันไน,칸나이,kannai
48,銀座,ginza,銀座,银座,กินซ่า,긴자,ginza
49,品川,shinagawa,品川,品川,ชินากาว่า,시나가와,shinagawa
50,赤坂,akasaka,赤坂,赤坂,อาคาซากะ,아카사카,akasaka
51,秋葉原,akihabara,秋葉原,秋叶原,อากิฮาบาระ,아키하바라,akihabara
52,青山,aoyama,青山,青山,อาโอยาม่า,아오야마,aoyama
53,馬車道,bashamichi,馬車道,马车道,บะฉะมิจิ,바샤미치,bashamichi
54,浅草,asakusa,淺草,浅草,อาซากุสะ,아사쿠사,asakusa
55,西島,nishijima,西島,西岛,นิชิจิม่า,니시지마,nishijima
56,八王子,hachioji,八王子,八王子,ฮาชิโอจิ,하치오지,hachioji
57,千葉,chiba,千葉,千叶,ชิบะ,치바,chiba
58,飯田橋,iidabashi,飯田橋,饭田桥,อีดะบาชิ,이이다바시,iidabashi
59,三軒茶屋,sangenjaya,三軒茶屋,三轩茶屋,ซันเกงจะยะ,산겐쟈야,sangenjaya
60,元町,motomachi,元町,元町,โมโตมาจิ,모토마치,motomachi
61,新宿,shinjuku,新宿,新宿,ชินจูกุ,신주쿠,shinjuku
62,築地,tsukiji,築地,筑地,สึคิจิ,츠키지,tsukiji
63,吉祥寺,kichijoji,吉祥寺,吉祥寺,คิชิโจจิ,키치죠지,kichijoji
64,伊豆大島,izu oshima,伊豆大島,伊豆大岛,เกาะอิสุโอชิมะ,이즈오시마,izu oshima
65,小笠原,ogasawara,小笠原島,小笠原岛,โอกะซะวะระ,오가사와라,ogasawara
66,赤羽,akabane,赤羽,赤羽,อะคะบะเนะ,아카바네,akabane
67,強羅,gora,強羅,强罗,โกระ,고라,gora
68,鎌倉,kamakura,鎌倉,鎌仓,คามาคุระ,카마쿠라,kamakura
69,みなとみらい,minatomirai,港未來,港未来,มินาโตะมิไร,미나토미라이,minatomirai
70,上野,ueno,上野,上野,อุเอโนะ,우에노,ueno
71,高田馬場,takadanobaba,高田馬場,高田马场,ทาคาดะโนะบะบะ,타카다노바바,takadanobaba
72,表参道,omotesando,表參道,表参道,โอโมเตะซันโด,오모테산도,omotesando
73,御徒町,okachimachi,御徒町,御徒町,โอคาชิมาจิ,오카치마치,okachimachi
74,川崎,kawasaki,川崎,川崎,คาวาซากิ,카와사키,kawasaki
75,永田町,nagatacho,永田町,永田町,นากาตะโจ,나다타쵸,nagatacho
76,入谷,iriya,入谷,入谷,อิริยะ,이리야,iriya
77,桜木町,sakuragicho,櫻木町,樱木町,ซากุระกิโจ,사쿠라기쵸,sakuragicho
78,塔ノ沢,tonosawa,塔之澤,塔之泽,โทโนะซาว่า,토노사와,tonosawa
79,藤沢,fujisawa,藤澤,藤泽,ฟูจิซาว่า,후지사와,fujisawa
80,二宮,ninomiya,二之宮,二之宫,นิโนะมิยะ,니노미야,ninomiya
81,新大久保,shinokubo,新大久保,新大久保,ชินโอคุโบะ,신오쿠보,shinokubo
82,幕張,makuhari,幕張,幕张,มาคุฮาริ,마쿠하리,makuhari
83,さいたま,saitama,埼玉,埼玉,ไซตามะ,사이타마,saitama
84,箱根湯本,hakone yumoto,箱根湯本,箱根汤本,ฮาโกเน่ยูโมโตะ,하코네 유모토,hakone yumoto
85,甲州,koshu,甲州,甲州,โคชู,코슈,koshu
86,自由が丘,jiyugaoka,自由之丘,自由之丘,จิยูกาโอกะ,지유가오카,jiyugaoka
87,両国,ryogoku,兩國,两国,เรียวโกคุ,료고쿠,ryogoku
88,宇都宮,utsunomiya,宇都宮,宇都宫,อุสึโนะมิยะ,우츠노미야,utsunomiya
89,御茶ノ水,ochanomizu,御茶水,御茶水,โอฉะโนะมิสึ,오챠노미즈,ochanomizu
90,東京,tokyo,東京,东京,โตเกียว,도쿄,tokyo
91,日本橋,nihonbashi,日本橋,日本桥,นิฮงบาชิ,니혼바시,nihonbashi
92,神保町,jimbocho,神保町,神保町,จิมโบโช,진보쵸,jimbocho
93,田原町,tawaramachi,田原町,田原町,ทาวาระมาจิ,타와라마치,tawaramachi
94,羽田,haneda,羽田,羽田,ฮาเนดะ,하네다,haneda
95,新橋,shimbashi,新橋,新桥,ชิมบาชิ,신바시,shimbashi
96,合羽橋,kappabashi,合羽橋,合羽桥,กัปปะบาชิ,캇파바시,kappabashi
97,神楽坂,kagurazaka,神樂坂,神乐坂,คากุระซากะ,카구라자카,kagurazaka
98,大宮,omiya,大宮,大宫,โอมิยะ,오미야,omiya
99,秩父,chichibu,秩父,秩父,ชิชิบุ,치치부,chichibu
100,汐留,shiodome,汐留,汐留,ชิโอโดเมะ,시오도메,shiodome
101,代官山,daikanyama,代官山,代官山,ไดคังยามะ,다이칸야마,daikanyama
102,麻布,azabu,麻布,麻布,อะซาบุ,아자부,azabu
103,田園調布,denenchofu,田園調布,田园调布,เดนเอนโชฟุ,덴엔쵸후,denenchofu
104,荻窪,ogikubo,荻窪,荻洼,โอกิคุโบะ,오기쿠보,ogikubo
105,蔵前,kuramae,藏前,藏前,คุระมาเอะ,쿠라마에,kuramae
106,本郷,hongo,本鄉,本乡,ฮงโก,혼고,hongo
107,群馬,gunma,群馬,群马,กุนมะ,군마,gunma
108,川越,kawagoe,川越,川越,คาวาโกเอะ,카와고에,kawagoe
109,奥多摩,okutama,奥多摩,奥多摩,โอคุทามะ,오쿠타마,okutama
110,葉山,hayama,葉山,叶山,ฮายามะ,하야마,hayama
111,お台場,odaiba,台場,台场,โอไดบะ,오다이바,odaiba
112,中目黒,nakameguro,中目黑,中目黑,นาคาเมกุโระ,나카메구로,nakameguro
113,成田,narita,成田,成田,นาริตะ,나리타,narita
114,日光,nikko,日光,日光,นิกโก้,닛코,nikko
115,錦糸町,kinshicho,錦糸町,锦糸町,คินชิโช,킨시쵸,kinshicho
116,月島,tsukishima,月島,月岛,สึคิชิม่า,츠키시마,tsukishima
117,六本木,roppongi,六本木,六本木,รปปงงิ,롯폰기,roppongi
118,清澄白河,kiyosumi shirakawa,清澄白河,清澄白河,คิโยสุมิชิราคาว่า,키요스미시라카와,kiyosumi shirakawa
119,押上,oshiage,押上,押上,โอชิอาเกะ,오시아게,oshiage
120,大手町,otemachi,大手町,大手町,โอเทะมาจิ,오테마치,otemachi
121,有楽町,yurakucho,有樂町,有乐町,ยูราคุโจ,유라쿠쵸,yurakucho
122,恵比寿,ebisu,惠比壽,惠比寿,เอบิสึ,에비스,ebisu
123,神田,kanda,神田,神田,คันดะ,칸다,kanda
124,池袋,ikebukuro,池袋,池袋,อิเคะบุคุโระ,이케부쿠로,ikebukuro
125,丸の内,marunouchi,丸之內,丸之内,มารุโนะอุจิ,마루노우치,marunouchi
126,舞浜,maihama,舞濱,舞滨,ไมฮามะ,마이하마,maihama
127,原宿,harajuku,原宿,原宿,ฮาราจูกุ,하라쥬쿠,harajuku
128,下北沢,shimokitazawa,下北澤,下北泽,ชิโมะคิตะซาว่า,시모키타자와,shimokitazawa
129,渋谷,shibuya,澀谷,涩谷,ชิบูย่า,시부야,shibuya
130,有明,ariake,有明,有明,อะริอาเคะ,아리아케,ariake
131,栃木,tochigi,櫪木,枥木,โทชิกิ,도치기,tochigi
132,横浜,yokohama,橫濱,横滨,โยโกฮาม่า,요코하마,yokohama
133,伊豆半島,izu peninsula,伊豆半島,伊豆半岛,คาบสมุทรอิสุ,이즈 반도,izu peninsula
134,中野,nakano,中野,中野,นากาโนะ,나카노,nakano
135,西葛西,nishi-kasai,西葛西,西葛西,นิชิคาซาอิ,니시카사이,nishi-kasai
136,浜松町,hamamatsucho,濱松町,滨松町,ฮามามัตสึโจ,하마마츠쵸,hamamatsucho
137,長南町,chonan,長南町,长南町,โชนันมาจิ,쵸난쵸,chonan
138,人形町,ningyocho,人形町,人形町,นินเกียวโช,닌교쵸,ningyocho
139,三ノ輪,minowa,三之輪,三之轮,มิโนวะ,미노와,minowa
140,茨城,ibaraki,茨城,茨城,อิบารากิ,이바라키,ibaraki
141,三鷹,mikata,三鷹,三鹰,มิตากะ,미타카,mikata
142,辻堂,tsujido,辻堂,辻堂,สึจิโด,츠지도,tsujido
143,四ツ谷,yotsuya,四谷,四谷,ยตสึยะ,요츠야,yotsuya
144,世田谷,setagaya,世田谷,世田谷,เซตะกายะ,세타가야,setagaya
145,高松,takamatsu,高松,高松,ทาคามัตสึ,타카마츠,takamatsu
146,鬼怒川,kinugawa,鬼怒川,鬼怒川,คินุกาว่า,키누가와,kinugawa
147,麻布十番,azabujuban,麻布十番,麻布十番,อะซะบุจูบัง,아자부쥬반,azabujuban
148,水戸,mito,水戶,水户,มิโตะ,미토,mito
149,日比谷,hibiya,日比谷,日比谷,ฮิบิยะ,히비야,hibiya
150,那須,nasu,那須,那须,นาสึ,나스,nasu
151,佐原,sawara,佐原,佐原,ซะวะระ,사와라,sawara
152,厚木,atsugi,厚木,厚木,อะสึกิ,아츠기,atsugi
153,仙石原,sengokuhara,仙石原,仙石原,ทุ่งหญ้าเซ็นโกคุฮาระ,센고쿠하라,sengokuhara
