article_id,lang,tag_id
822,ko,427
822,ko,435
822,vi,427
822,vi,435
2109,ko,311
2109,ko,461
2109,ko,532
2109,vi,311
2109,vi,461
2109,vi,532
4213,en,583
4213,en,370
4213,en,469
4213,en,1849
4213,en,587
4213,en,471
4213,th,583
4213,th,370
4213,th,469
4213,th,1849
4213,th,587
4213,th,471
5493,en,381
5493,en,1849
5493,en,445
5493,th,381
5493,th,1849
5493,th,445
7201,ko,599
7201,vi,599
26074,en,1849
26074,en,1847
26074,th,1849
26074,th,1847
26446,ko,534
26446,vi,534
26446,th,534
26838,ko,542
26838,vi,542
26870,en,590
26870,en,367
27387,ko,357
27387,ko,373
27387,ko,415
27387,vi,357
27387,vi,373
27387,vi,415
27426,ko,262
27426,vi,262
34568,en,211
34568,en,1847
34568,th,211
34568,th,1847
35505,en,211
35505,en,538
35505,th,211
35505,th,538
36223,en,545
36223,en,1816
36223,en,275
36223,en,262
36223,en,1849
37012,ko,129
37012,ko,556
37012,ko,569
37012,ko,573
37012,ko,574
37012,ko,576
37012,ko,7939
37012,vi,129
37012,vi,556
37012,vi,569
37012,vi,573
37012,vi,574
37012,vi,576
37012,vi,7939
37154,en,182
37154,en,1847
37321,en,270
37321,en,1847
37625,ko,544
37625,vi,544
37761,en,169
37761,en,1712
37761,en,1847
38225,ko,274
38225,ko,374
38225,ko,408
38225,ko,454
38225,ko,536
38225,ko,552
38225,vi,274
38225,vi,374
38225,vi,408
38225,vi,454
38225,vi,536
38225,vi,552
38236,ko,370
38236,ko,533
38236,ko,872
38236,ko,932
38236,vi,370
38236,vi,533
38236,vi,872
38236,vi,932
38239,ko,7923
38239,vi,7923
38301,ko,7923
38301,vi,7923
38347,ko,7923
38347,vi,7923
38371,ko,7923
38371,ko,7923
38371,vi,7923
38371,vi,7923
38555,ko,374
38555,ko,408
38555,ko,444
38555,ko,553
38555,vi,374
38555,vi,408
38555,vi,444
38555,vi,553
38606,en,8
38606,en,241
38606,en,245
38606,en,1847
38752,en,453
38752,en,1849
38772,zh-hant,1117
38772,zh-hant,319
38772,zh-hant,367
38772,zh-hant,422
38772,zh-hant,265
38772,zh-hant,426
38772,zh-hant,483
38772,zh-hant,408
38865,ko,267
38865,ko,582
38865,ko,590
38865,vi,267
38865,vi,582
38865,vi,590
38881,en,270
38881,en,590
38881,en,367
38881,en,600
38883,en,57
38883,en,751
38883,en,354
38883,en,270
38931,zh-hant,184
38931,zh-hant,442
38931,zh-hant,401
38931,zh-hant,510
38931,zh-hant,532
38931,zh-hant,539
38939,en,132
38939,en,317
38939,en,512
38942,zh-hant,97
38959,zh-hant,68
38959,zh-hant,7939
38959,zh-hant,1099
38959,zh-hant,579
38962,en,587
38962,en,367
38962,en,592
38962,en,1849
38962,th,587
38962,th,367
38962,th,592
38962,th,1849
38991,zh-hant,1099
38991,zh-hant,1854
38991,zh-hant,316
38991,zh-hant,335
38991,zh-hant,483
38991,zh-hant,374
38991,zh-hant,533
38991,zh-hant,300
38994,zh-hant,366
38994,zh-hant,533
38994,zh-hant,474
39000,zh-hant,217
39000,zh-hant,300
39000,zh-hant,220
39000,zh-hant,533
39000,zh-hant,539
39001,zh-hant,270
39001,zh-hant,415
39001,zh-hant,319
39005,zh-hant,319
39005,zh-hant,300
39006,zh-hant,381
39006,zh-hant,528
39006,zh-hant,454
39006,zh-hant,446
39007,zh-hant,118
39007,zh-hant,349
39007,zh-hant,374
39008,zh-hant,247
39008,zh-hant,319
39008,zh-hant,265
39008,zh-hant,300
39008,zh-hant,240
39008,zh-hant,267
39013,zh-hant,217
39014,en,54
39014,en,879
39014,en,325
39014,en,448
39014,en,1849
39014,en,422
39018,zh-hant,134
39018,zh-hant,533
39018,zh-hant,300
39018,zh-hant,415
39022,zh-hant,311
39022,zh-hant,1854
39022,zh-hant,265
39022,zh-hant,300
39023,zh-hant,63
39024,zh-hant,215
39024,zh-hant,319
39024,zh-hant,366
39030,en,7940
39046,zh-hant,141
39057,zh-hant,592
39057,zh-hant,124
39057,zh-hant,207
39057,zh-hant,51
39057,zh-hant,1856
39066,en,618
39066,en,288
39066,en,583
39066,en,1849
39067,en,1847
39067,en,587
39067,en,1849
39068,zh-hant,528
39076,en,419
39076,en,1757
39077,zh-hant,532
39077,zh-hant,592
39083,en,1726
39083,en,54
39083,en,357
39083,en,1849
